Current Date:,10/31/2020,6:12 AM,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report
10/30/2020
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary
Parameter,Site Name,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
,KEARNY MESA,0,0,0,0,0,0,57,256,464,632,734,766,727,633,479,284,79,1,0,0,0,0,0,0,213,766,11
25 NOY,EL CAJON LES,14.25,15.89,16.07,17.68,19.73,C,C,61.87,63.53,26.72,15.16,12.55,13.71,8.38,7.91,10.43,12.08,10.80,13.01,13.58,18.64,19.37,22.18,18.04,19.61,63.53,08
26 NOY-NO,EL CAJON LES,14.09,15.77,16.05,17.36,19.06,C,C,26.94,30.80,17.62,11.72,10.37,11.56,7.21,7.08,9.66,11.39,10.74,12.98,13.53,18.38,18.93,20.28,17.82,15.42,30.80,08
27 NO Trace,EL CAJON LES,.16,.12,.02,.31,.66,C,C,34.92,32.72,9.10,3.43,2.18,2.14,1.16,.82,.77,.69,.06,.02,.05,.26,.43,1.90,.22,4.18,34.92,07
28 SO2 Tr PPB,EL CAJON LES,.1,.1,C,C,C,.1,.2,.2,.3,.1,.1,.2,.2,.2,.2,.2,.2,.2,.1,.1,.1,.1,.1,.1,.1,.3,08
29 CO Tr PPB,EL CAJON LES,542.1,462.3,C,C,C,760.7,762.9,964.1,944.4,490.6,358.0,318.8,349.8,274.6,272.1,342.2,388.6,429.7,501.2,543.3,653.2,775.0,707.0,556.8,542.7,964.1,07
BCarbon ug/m3,10TH AVE MARINE TERM,1.77,1.81,1.88,1.68,1.47,1.41,<,2.00,2.53,2.23,2.19,1.19,1.26,1.06,.93,2.67,1.47,.92,.72,.67,.89,.93,1.25,2.82,1.55,2.82,23
,ALPINE,.22,.16,.16,.15,.14,.28,.24,.28,.24,.15,.19,.23,.21,.38,.35,.51,.61,.70,.63,.59,.49,.41,.28,.24,.33,.70,17
,CHICANO PARK,1.72,1.62,1.39,1.38,1.46,1.57,2.16,1.96,2.28,2.44,2.46,1.28,1.07,.95,.89,1.98,1.59,.77,.76,.76,.88,1.17,2.43,1.98,1.54,2.46,10
,DOWNTOWN SES,2.13,2.49,1.63,1.44,1.30,1.12,1.94,1.87,1.91,2.76,2.54,1.50,1.26,.98,.82,.78,.91,.98,1.00,1.50,1.07,1.47,2.17,2.05,1.57,2.76,09
,OCEANVIEW BLVD,1.66,1.61,1.27,1.02,1.23,1.30,1.61,2.00,1.76,2.20,2.43,1.42,1.15,.87,.93,1.52,1.88,.93,.95,1.51,2.68,2.12,2.04,1.69,1.57,2.68,20
,SAN YSIDRO,1.23,3.64,9.88,11.91,11.60,10.21,9.30,15.19,11.79,6.96,3.74,1.80,1.06,.86,.85,<,.75,.60,.88,.91,1.66,1.53,1.26,1.49,4.74,15.19,07
RAINFALL,EL CAJON LES,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,00
