Current Date:,6/21/2021,6:12 AM,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report
6/20/2021
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary
Parameter,SiteName,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
16 AMBTEMP °F,ALPINE,72.4,73.3,69.3,70.9,72.1,72.9,75.9,77.4,74.0,73.8,75.8,80.6,82.7,81.9,80.8,81.6,78.3,75.1,69.8,65.6,64.8,64.0,64.5,65.5,73.5,82.7,12
,CARMEL MT RCH,60.1,59.4,59.8,60.0,60.7,61.0,61.6,64.2,67.9,68.7,72.1,78.5,79.7,78.8,78.2,77.5,74.6,69.9,65.0,62.7,61.8,,,,67.7,79.7,12
,CHULA VISTA,64.3,64.3,64.1,63.8,63.3,63.6,63.8,64.8,64.9,66.0,67.9,69.8,70.2,70.5,69.7,68.5,67.0,65.5,64.3,63.7,63.8,63.7,63.6,63.6,65.6,70.5,13
,DOWNTOWN SES,63.6,63.8,63.6,63.3,63.3,63.6,64.0,64.0,64.4,65.5,67.9,68.5,68.9,69.8,69.4,68.0,66.8,66.0,64.6,63.8,63.3,63.1,62.8,62.8,65.2,69.8,13
,EL CAJON LES,62.6,62.1,62.5,62.9,62.7,62.2,62.9,66.0,70.1,71.2,74.2,79.1,80.0,79.4,82.0,78.4,76.9,73.6,68.5,65.5,64.1,62.9,61.9,61.2,68.9,82.0,14
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,62.5,62.2,62.1,62.8,62.9,62.7,63.0,63.6,65.3,65.8,69.8,73.8,74.3,72.4,74.7,73.1,71.0,68.1,64.8,62.8,61.6,61.0,60.8,60.4,65.9,74.7,14
,OTAY MESA DVN,61.7,61.4,61.2,61.5,61.1,60.6,61.8,64.4,68.3,69.2,71.7,74.7,74.4,75.2,74.1,72.4,70.5,67.2,63.0,61.3,60.8,60.2,59.7,59.8,65.7,75.2,13
,PENDLETON,63.4,63.5,63.3,63.0,62.5,62.6,63.3,64.1,64.6,65.0,66.2,67.7,67.9,68.6,67.0,66.7,65.9,64.9,64.1,63.0,62.9,62.8,63.1,63.3,64.6,68.6,13
17 RELHUM %,ALPINE,58,54,62,57,52,50,44,44,58,59,55,44,39,42,44,41,46,51,64,77,79,81,78,73,56,81,21
,EL CAJON LES,89,90,89,88,88,90,88,81,71,69,64,54,50,51,46,51,53,59,69,76,79,83,85,87,73,90,01
,KEARNY MESA,94,95,95,93,93,94,93,92,87,87,76,65,64,67,61,63,67,73,81,85,87,90,90,92,83,95,01
18 PRES mmHg,EL CAJON LES,744,745,745,745,745,745,745,746,746,747,747,747,746,747,746,746,746,747,747,747,747,748,748,748,746,748,21
,KEARNY MESA,746,746,746,746,746,746,746,747,748,748,748,748,748,748,748,748,748,748,748,748,748,749,749,749,748,749,21
