Current Date:,3/11/2022,6:12 AM,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report
3/10/2022
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary
Parameter,SiteName,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
27 NO Trace,EL CAJON LES,.01,.05,.02,.01,.06,C,C,.25,.35,.35,.35,.35,.90,.81,1.18,.70,.39,.28,.23,.59,.81,.23,.05,.09,.36,1.18,14
28 SO2 Tr PPB,EL CAJON LES,.0,.0,C,C,C,.0,.0,.0,.0,.0,.0,M,M,M,M,M,M,M,M,11.2,.3,.1,.0,.0,.8,11.2,19
29 CO Tr PPB,EL CAJON LES,226.0,203.9,C,C,C,171.0,184.1,192.5,178.2,163.7,165.9,C,M,M,M,M,C,C,M,<,207.3,379.9,273.4,289.2,219.5,379.9,21
BCarbon ug/m3,10TH AVE MARINE TERM,.15,.16,.15,.14,.99,1.34,1.52,5.75,1.64,.65,.22,.22,.29,.20,.29,.25,.25,.44,.33,.30,.42,.94,1.14,1.07,.79,5.75,07
,ALPINE,.54,.56,.49,.36,.36,.28,.27,.27,.23,.17,.13,.14,.15,.17,.30,.32,.24,.24,.36,.45,.37,.39,.31,.18,.30,.56,01
,CHICANO PARK,.19,.27,.18,.15,1.33,1.28,1.67,6.04,1.13,.70,.32,.27,.23,.23,.30,.31,.35,.45,.52,.50,.64,.87,1.15,1.11,.84,6.04,07
,DOWNTOWN SES,.23,.27,.23,.15,1.28,1.02,1.37,4.62,.96,.74,.34,.20,.17,.20,.22,.21,.30,.31,.31,.44,.52,.78,1.07,.88,.70,4.62,07
,OCEANVIEW BLVD,.29,.36,.47,11.84,1.26,.87,2.43,3.61,.79,.64,.44,.26,.21,.30,.24,.27,.38,.26,.33,.44,.59,.72,1.12,1.12,1.22,11.84,03
,SAN YSIDRO,.36,.62,.47,.89,1.09,1.78,1.30,1.05,1.27,1.22,.94,.38,.29,.23,.15,.21,.20,.21,.43,.44,.55,.73,.86,.62,.68,1.78,05
RAINFALL,EL CAJON LES,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,00
